ID,CalcRMSD,COM_Distance
mac-x2820,1.444765708,0.272248965
mac-x2829,0.310411248,0.133299945
mac-x2832,1.833939298,0.748531404
mac-x2915,0.294675499,0.200198208
mac-x3202,1.60671869,1.008231874
mac-x3203,2.058665638,1.159095294
mac-x3231,1.877045393,0.432778974
mac-x3233,0.971912131,0.579619617
mac-x3248,4.341242233,1.792694279
mac-x3253,4.792910031,2.040449625
mac-x3254,2.045451992,1.099580353
mac-x3288,4.787076925,0.353526944
mac-x3395,0.874693597,0.386504971
mac-x3396,0.956104414,0.101974176
mac-x3397,3.063733507,0.497664662
mac-x3398,0.59180958,0.041002838
mac-x3400,0.52417201,0.41869024
mac-x3401,0.467318949,0.300247604
mac-x3403,1.511998305,0.237261541
mac-x3408,0.520650021,0.437775472
mac-x3409,0.82328961,0.230848345
mac-x3410,2.007419181,0.872680979
mac-x3412,0.876799215,0.239934301
mac-x3413,1.098054015,0.238072575
mac-x3414,1.292883889,0.905683638
mac-x3416,0.472931044,0.243746333
mac-x3419,0.329125272,0.182492601
mac-x3420,3.448893755,1.339710719
mac-x3421,3.495232405,1.493742635
mac-x3424,0.758964377,0.442812059
mac-x3425,0.760033959,0.618143915
mac-x3426,0.514838324,0.363052776
mac-x3427,0.506066825,0.358577472
mac-x3429,0.61735372,0.478049547
mac-x3431,0.438728982,0.321008267
mac-x3432,2.196704498,0.925354529
mac-x3433,0.283998861,0.152157006
mac-x3434,0.276856963,0.144021668
mac-x3440,1.089502059,0.870636883
mac-x3441,1.687978193,0.767215836
mac-x3443,0.811538539,0.186561746
mac-x3450,0.432514997,0.258540586
mac-x3451,1.106162561,0.224231438
mac-x3453,0.383294005,0.312767151
mac-x3461,0.351993733,0.117766836
mac-x3462,0.369862287,0.2547963
mac-x3463,0.617805443,0.440999599
mac-x3467,0.349724513,0.304962605
mac-x3469,0.208929484,0.156666728
mac-x3471,0.583354988,0.390820818
mac-x3472,0.704777568,0.329157478
mac-x3473,0.322914216,0.139404081
mac-x3474,1.725653777,0.748981432
mac-x3479,0.628815111,0.383767524
mac-x3480,0.662608817,0.308191178
mac-x3516,0.995960491,0.495610366
mac-x3518,0.472992534,0.183025111
mac-x3520,0.375379617,0.120681709
mac-x3523,1.597107835,0.922601123
mac-x3524,2.091553505,1.216728293
mac-x3525,2.15702021,0.664249756
mac-x3526,2.451958905,0.928265887
mac-x3530,1.768166671,0.831523334
mac-x3533,1.713980017,1.243463226
mac-x3536,2.186551623,0.848546924
mac-x3538,1.370195624,0.669586966
mac-x3543,2.038862505,0.890476946
mac-x3548,1.024719447,0.45477622
mac-x3551,2.219345061,1.60629235
mac-x3555,0.931105415,0.49490178
mac-x3577,2.480862955,1.518846093
mac-x3597,1.25792931,0.547954289
mac-x3623,2.17284132,0.254489312
mac-x3629,1.068141204,0.398640588
mac-x3636,1.965761465,0.249266805
mac-x3650,4.822297209,2.543026211
mac-x3665,3.818623547,1.405550827
mac-x3711,3.85562282,1.413134853
mac-x3729,0.626227561,0.408572662
mac-x3734,1.031481612,0.607008189
mac-x3739,1.392496204,0.347430853
mac-x3753,0.597410952,0.338736038
mac-x3763,2.850604121,1.182593805
mac-x3840,1.771260326,0.598124396
mac-x3844,0.367989273,0.337967405
mac-x3851,1.955851765,0.623203901
mac-x3867,2.097326963,0.146483216
mac-x3868,0.77403456,0.306335132
mac-x3874,0.971833211,0.232367712
mac-x3884,2.06240874,0.62011324
mac-x3885,1.919071673,0.797862954
mac-x3887,1.809622639,0.55851907
mac-x3888,1.032486846,0.35241716
mac-x3890,0.66328866,0.544117642
mac-x3892,2.522025509,0.858037979
mac-x3899,0.829638065,0.292155459
mac-x3912,0.273041039,0.079165861
mac-x3927,1.604343919,0.360251465
mac-x3928,0.397785632,0.128588113
mac-x3932,0.39405641,0.196475116
mac-x3937,2.077171668,0.897866835
mac-x3942,1.336425082,0.989921889
mac-x3952,1.967900138,0.933192071
mac-x3960,2.189428464,0.739820592
mac-x3961,1.957199431,0.572136922
mac-x3963,0.741494058,0.360240398
mac-x3966,1.376606559,0.350390517
mac-x3986,1.737629053,0.476127379
mac-x3994,1.659686052,0.542612074
mac-x3995,0.741131905,0.263984648
mac-x3996,1.678499546,0.28609873
mac-x3998,1.071529348,0.390281031
mac-x4013,2.02993318,0.558288454
mac-x4014,4.446083063,2.62006083
mac-x4016,3.510923578,1.912222478
mac-x4031,1.644968111,0.347673744
mac-x4032,0.988763995,0.384205624
